keys|values
citizens.i|1
centuary|1
gi|3
huma|2
competition..|1
clapping|1
publically.|2
insinuating|1
jaahils.|1
interupt|1
hauser|1
sharukh|4
dfend|1
fun,|1
dresses,|72
reema).|11
smear|9
baselessly|1
punitive|9
intensive|1
sehti.these|1
blasphemers|42
beena|3
cricketers|5
religion?|1
familes|1
delevering|1
channel....|2
urgently|9
wasif.|3
cleavage.|1
peddlers|3
disguting|1
repeat|49
correspondence|1
https://m.facebook.com/groups/1070970632927180?view=permalink&id=1765098243514412|1
nahin|86
hormy.|1
magic.their|1
johar|1
asa.|1
dressing..|2
geographical,|1
atleast,so|1
activity.he|1
respectively|2
gall|1
administration.|29
sundays|1
offence|7
conduct...this|1
treacherous|4
permnantly.|1
pushtoon(wazir)|1
vulnerable.stop|1
nasic|1
dubious|1
opinion.so|1
26,|2
purposeful|2
obaid|1
sparks|2
destorying|1
thanks.|119
hayaa|1
privacy,|1
speaches|42
repetatively|1
segregating|1
wars|6
saath|6
rambos|1
pregnancy.|5
spirtuality|5
outrageous|31
stupid|152
eeman.|1
gandhi.this|1
khawarij.|3
orphans|1
https://www.facebook.com/groups/gujratpakistan/permalink/10155393641787592/|1
sunni-shia|1
cunt|1
issue.picture|1
9pm).|1
??????|1
wahabi.|1
lady..|1
pushed|1
allaihiwasallam).|2
https://www.youtube.com/watch?v=fvev66hgmns|1
madam|1
vedios|3
e.t.c|5
deol|1
mr.qoum|3
fights.|3
.this|24
modif|2
jinn.|1
fahhashi|1
ar|9
https://www.facebook.com/sajidapna/videos/691478811024760/|1
begharti|1
media|1508
mily|1
go|240
16scal|2
plans|3
levels|3
mack|2
basis...i|1
hours)|2
overlooked|1
.english|1
hotels|27
technology|20
thia|4
chanel.|6
sharif......and|1
secretrian|1
promiting|1
unbeatable|1
admirable,|1
efficacy|1
amungst|1
exploite|1
thanks&regards|1
non-existent|3
interviewing|6
timing.|2
reveal|9
conception|1
cricinfo)very|1
act|420
racist|33
https://www.facebook.com/iamaamirliaquat/videos/1921083401255390/|2
laungue|1
munfrat.|1
masood.|1
mid-way|1
actor,politician|1
kindlybbanned|1
man.he|1
contorlling|6
taken.|11
publication|1
inter-faith|1
oct,|1
onslaught|1
bhoshan|4
proofs|19
lame|2
fatwa|14
schools|10
likely|7
https://www.youtube.com/watch?v=v2fcueutxog|1
waziristanes|1
malik.|3
coming.|7
(who|4
https://www.youtube.com/watch?v=v4boy6tflcc|1
morally.|12
varies|3
koja|1
killer|9
serves|1
applause|1
transgendered|4
iho|1
arm|8
acent|1
2.disliking|1
writes|7
whimsical|2
cams|1
hoy|1
day,22/7/18/sunday,while|1
proceedings|9
relies|1
nabeel|1
pornography.|2
blasphemers!!!!|1
sectrian|2
javed..|1
kidly|1
27/12/17|1
apology.|21
established,|2
fact-finding|4
tohmat|1
controling|1
tolerate|315
sheer|3
leas|1
jamiat|1
jot|1
answered.|2
posible|2
showes...|1
#justicrforzainab|1
definately|1
wrwb!!|1
levying|2
champions|3
firkawiraniyat.|1
tifarka|1
prevalent|1
force.|2
highy|1
power-hungry|1
assalaam|1
.amir|1
ramdan,amir|1
irrelvent...how|1
pakistan/unilever|1
.......|1
outrage|2
kuch|10
ji,|1
movie.do|1
almond|1
prophet(p.b.u.h)|1
untrue.|1
rite|1
thanks...|1
neighbors|1
alaikum!|3
custody.|1
hatred,|13
toilet,|4
imparted|1
you!|17
aleh.|1
action.thank|1
sounds,|12
mentioned.|6
ppp|5
stop...|1
bcci|2
encouraged....|1
answering|11
rohangiya|1
ulama.|1
observe|10
follows|6
sati|3
rose|2
mght|1
inc.|3
chaneels|2
especiakke|1
links.|31
millage.|1
mocking.|1
habshan,|1
dangerous.|4
gormit|1
higest|1
entice|1
dept|1
hijab,|1
farmain|1
second):|1
junction|1
ostentatious|1
mosque,|1
disrepects|1
third|13
hounerable|1
woord|1
bureau|2
titli|1
well.|382
federer|1
blouse,|1
track.|3
tv!|5
theres|12
ppls|16
(guest|2
sister|14
terming|15
dat|2
relative|4
lay|5
songs?|27
vitriol|5
wazeer|4
anchor.......|1
shod|1
publishing|17
goodself|1
collectively|1
belittle|1
beauty,|2
belief.|3
crime.it|1
station,|1
mad|11
group?|1
firstly,|3
stuts|1
rebuke|1
barrat|1
decreases.|27
https://www.youtube.com/watch?v=qlptv54wriq|2
uncle.|2
transmission.many|1
labs|1
often,|1
show...she|2
singham,|1
let|174
investigation..|1
cast.this|1
dealing|3
alykum|2
billion|1
ahtisham_ul_haq|1
touse|1
infertility|3
insaan|1
tht|11
https://www.youtube.com/watch?v=oxgnxdohazs|1
humare|1
everyine|2
responsibility,|1
sources.he|1
crate|1
larger|2
privacy|32
hrcp|25
convey,|1
misinformed|2
.pls|15
adequate|2
speech)|1
unification|2
incharge|1
again.regarding|1
society|1148
nations,|1
pakistani?|1
bu|1
geo!|16
pair|2
pgm|2
appalling|1
looking|56
nazre|1
24/7.|6
valgurity.|1
guesthouse|1
insititute|5
pre-poll|1
unjustified|4
starred,|12
labor|1
hadees.|17
aurat|1
ways|43
emotionally|2
courage|9
firqawarna|1
transmission,|30
diplomatic|1
liberty|3
while.|1
billah|1
again.if|1
,historical|3
demonstrating|1
v.c.|1
akhlaq-ur-rehman|19
sikkim|1
integrity|306
standard.|2
occupation|3
ramzan.so|4
id|13
yesterday,on|1
yhodi|5
2-nowadays|1
frightening|1
screen.|17
incumbent|1
individual/group.|1
july,|1
character|203
painfull|2
advertiseing|1
shoulders|2
seprading|3
rupees.|1
minutes|20
overacts|1
ex-president|1
sahri|3
light|67
clever|2
blame.|1
liaqauat|7
ramp|1
quraishi.|1
favoring|1
asher|2
set.|9
esp|2
caliphs|1
https://www.youtube.com/watch?v=acbuye65yy4|2
page:|2
asking.|1
endulges|1
voliger|1
despicable|3
hijjah,|1
find|40
pagal|2
mifti|1
waqas,qaira,zardari|1
transmissioms|3
allegiations|1
minds...|1
condaming|1
yo|3
thn|4
admit|8
6.pm|1
rafi|1
cpurt,|1
erotic|2
crimnal|1
thighs|1
libel.|1
shows.he|1
law.|126
drunk|1
fatima|2
progarms|1
fashioned|3
1(f)|1
disgraceing|1
outraged|1
sairoz,|16
sony|6
pashteen|2
closed|54
espionage|1
veiews|1
rape|42
incorrectly|1
risalat.|4
vulgerity|2
show..|22
usa.|1
slanderous|9
darwesh|1
faithful|2
order,you|1
laila|4
risque|1
ahead|18
empowered|1
withdraw|3
biz|1
him.and|1
kokoab|1
11:05|1
i.d.thanks|1
25,|3
apex|2
believes|72
tks|2
thoughts..it|1
depict|32
sate|1
protested.|1
played.|5
channel.bil|2
mazang|1
unvan|1
4:3|27
appeared|10
dec17|1
lifetime..|1
editorial|3
norms....|2
able|99
prove.|3
lost|52
businesses.|3
headed.|1
aggressive|6
totally.|1
hein|2
peshawer|10
typical|7
cause.|3
show!|7
thank_you|1
group...stop|5
proofs,|4
curruption|1
it....|2
thanks.....|1
minority|12
righteous,|1
attacking|75
government,|2
ameer|1
hypocrisy,|2
form.|20
overwhelming|1
pease|1
inin|1
bnayen...|2
comparing|3
lean|1
work..|1
crimes.he|1
moniter,|1
complaints,|7
terrorise|1
versus|5
hawa|7
diappearance|1
youth,|1
sr|3
absar|22
naghin|6
immediately!|2
asnon|1
imbalancing|1
uncertainty.|1
islamist|3
disrupted|3
immesiate|1
3/7/2017|1
85|2
muslim,|7
authentication|1
contestant.|1
partcularly|8
decession|1
intermediate|2
a-plus|7
ghulam|2
permonently|1
details.|5
walay.|1
prosecuted.|1
ahlehadees.|1
abtk|1
hate/sects|1
toughest|1
arshid|1
...to|1
units|2
notice!|5
preading|1
clampdown|2
news!!!|3
progame|1
drama,serial|1
hussain,imtiaz|1
publicly|49
4(7)|28
director,channel|1
standing|37
sectariarism|2
key|18
akaram|1
moralizing|1
filed.|1
violnce|3
there,|3
ullma|5
karachhi|2
stop/ban|1
appeasement|2
skiing.|3
khelaf|1
abbtak,please|1
grooming|3
closure.|2
glamorizing|1
girls|323
https://youtu.be/tzlds7nvji0|1
s.a.w.w|8
designers|14
plastic|1
hate,|14
400|1
recieved|2
trageting|1
sath,|7
kind.|1
han|6
hd|14
fiqhi|1
25|35
lawlessness.|1
boundries.|1
lord.|1
nisar|11
vitimized|1
kokab|502
assault|4
furor.|1
nashriyat)|1
32nd|1
fiaisal|1
jatai|1
haji|2
recongnized|1
distasteful|1
judge!|1
morning/ramzan|1
chahi.|1
syria,|1
mar.|1
report|179
statements)|1
ulamaa.|1
entertaining|11
heart|58
country..|8
oct|7
10:27pm|2
discusses|1
prayers|6
tablets|3
market|1
preferring|1
hannal|1
true)|1
firkas|2
mujahid|1
aired!!|1
repeatedly.|3
chalegay|1
nazr-e-bad|2
enhancing|4
gb.|1
ghamdi|1
solve|21
references|8
material.|19
completelifetime|1
peace.....|1
improve|63
vedio:|1
sheep|3
sultan...it|1
breast/|1
19,2018,|1
massod|1
print.|1
jeena|1
call.|5
released.|3
anymore..|1
ki),|1
battles|1
channela|1
soil.|1
again..|2
creepy|1
8th,|1
hate!|1
waheed|1
zindagi|37
themselves.|8
welcomed.|1
news.as|1
separately.|21
chowk,|1
sense....|1
ikhtalafat|1
secretery|1
automation|1
alotting|1
avood|1
jain|1
alot...|1
before.|3
maslaki|4
school,principal|1
valyea|1
hatism.|1
kay),|1
#pemra.|1
rasool(saww)|1
informations|13
devaluation|1
specific.|1
16|4
fiber|1
name.|9
moalna|1
norm|2
firs|5
molested|2
fatwa,|1
gap....|2
deama|1
news...|12
dnf|1
spreting|1
defaulters.|1
betterment.|4
unnoticed|2
possible!|1
inducind|1
scruitinize|1
news)|8
instruction|28
toba|1
showl|1
head&shoulder.|1
colonial|2
un-islamic,|1
13.04.2017|2
lng|2
abut|1
repeats|4
show,she|1
priest|1
castes|1
pta|51
complexity|1
teaser|2
noshi|1
corrupt.|3
par|9
listeners|1
classic|1
misjudging|1
publicaly|1
27-28|1
bahawalpur|1
credentials|1
year.|14
behaviour|95
setgi|1
influencing|6
insensitivise|1
delibratly|1
forest|2
offline|2
him.please|1
inert,|1
except|32
undking|2
consevative.|1
disharmony.|2
tthis|1
zahir|2
#ban|11
(https://youtu.be/u9uf53rizrg).|7
98%|1
emotional|12
roll|2
stoping|1
ll|8
fitnah.|2
market.|1
radical|4
karmani|1
channels.whatever|4
progrm|4
liauqet|4
weset|1
terrorist,,contrary|1
broke|9
sectarians|1
begar|1
fakes..|1
group,|5
disappointing.|2
pemra,that|10
stabbing|2
accepting|3
pori|1
disconnected|2
sorrow|1
presenting|60
toheen-e-risalat.|1
death|46
campus|1
unable|10
reveals|1
accidents,|4
(pbuh).|4
fuel|17
hating|5
sit,|1
restrain|6
fake,|3
paki|4
tipu|1
sectraisim|1
asad|1
permission.|13
illiterates.|1
1990s.|1
monitored.|16
actress,|2
document|4
blasphamous|4
mark.|1
ullema|2
fear,|2
26-2-2018|1
firqaism|1
rating-hunt.|2
tollerate|1
shoudl|1
best,|1
mom|27
bs.|3
wariyat)|1
boy.|3
begging|3
queues|1
tag|30
cleric|3
ulemaye|1
residents|38
stick|7
interpret|2
chartered|1
creacr|1
representation.|2
reema|4
life.thanks|1
violence?|1
manqabat.|2
shifting|5
sophisticated|5
relating|4
logged|47
ppl.|5
sawalaat|1
condescending|1
warnings,|10
weird|6
muslimss|1
pount|1
/talk|1
among|646
,amir|1
it,ban|1
false/unproven|1
pure|49
earning.|2
1-2|5
victim.|1
zubani|1
ignite|16
got.|3
https://www.dropbox.com/s/rtwdsgsi8hofxnt/27572022_233582670517224_4753783495292092416_n.mp4?dl=0|1
unbearlabe|1
cancel.the|2
structure|1
unsafe,|1
badd|1
disassociate|1
to,|12
3:ptv|1
board?|1
ction|1
pakistan..if|1
displeasure|21
tradition.|1
plea|1
laws.|18
bullied.|1
prasti,|1
no|1082
mahafils.|1
pemra|2925
stant|1
lgae|1
ngo|13
light,|1
http://harpalgeo.tv/tere-bina/|1
a.|2
qndeel|1
show.and|1
shouldbe|1
entity.|1
currel|1
fassaad.|1
blasphemy-blasphemy|1
hatard|1
tapal|1
appreciation|2
generations|49
kuffar|2
people;|1
khayal|2
triggers|1
harm|46
shoq|1
tv.....|1
entered|31
hateism|1
aik|13
promotin|1
please,|19
prompt|14
commenting|6
stock|1
soz|2
differences.he|1
diversity|2
hell.|3
narrator|1
hosted|318
saat|1
liya|1
park|2
.there|4
inter-sects|1
voice|56
allure|1
labguage|2
country...we|1
shouldve|2
something...|1
chanals|33
achnor|1
speakers.|4
reaspected|2
deen..|2
visional|1
mnth|1
sharif.|13
somebody|5
institutions/leaders/individuals/businessmen/etc|1
colgate|1
mission|13
separate|151
immediately,|7
mnt|2
spirits|1
bike.|2
aaking|1
badly.|8
crowd|2
dig|2
rift|15
once.|14
circumstances.|3
(coke|1
bickering|1
contacts|2
speech???|1
shunned|1
educative|3
mount|1
exhusband|2
jaseem|1
air.say|4
sethi...|2
becuase|2
(dance|2
rahi|10
complainant|2
desaster|1
anything.|11
package|1
thin|1
liaqut.|4
programmes...|1
asghar|1
(bloggers),|5
aggression.|1
strict|530
dating|1
telecast.this|1
a-tv|1
bar|24
21|16
eye.|1
maya|7
screenshot.|2
precisely|1
treat|10
sacterian|2
nae|5
erotic,|28
swift|3
transmission....|1
betiyan|1
asim|3
.do|1
(zara|1
organizations,|1
qualify|3
sahahzaib|1
habshi|1
kokeb|1
individuals|83
https://www.instagram.com/p/bv4lbpmfhla/|2
assests|1
valentine|10
falmazia|1
https://www.youtube.com/watch?v=ll0jqscwn14.|1
assalamualaikum,|4
dinnu|1
zaiqa|1
guitars|2
flight|1
10-14|2
phoot|1
1st|18
announce|8
...all|3
gaddar.|1
wonders|1
irresponsibility|3
secular|11
united.|3
communities|25
ptv.|11
them..|8
(tehreek|1
khil|1
flaws.|1
okarvi.|1
wichi|1
throughly|3
markaz,|1
intishar|3
6:00|2
generation,|2
temp.|1
https://www.facebook.com/peopleofpakistanofficial/videos/1773948892630523/|4
instigating|36
aalim..and|1
search.|1
mileage|11
salaries|6
mobs.|2
misconducting|3
performers|1
paramount|1
faulty|1
crisis|4
drugs|4
sridevi|30
kimdly|1
ha|29
idea|19
viewership,|1
fikrawariat|1
(s.w)|1
ahmad|6
notion|10
comprises|1
passport|11
anti-islam.|27
aggrieved|13
dead.|4
validated|2
https://www.facebook.com/lullaggaye/videos/775382695955953/|1
disclaimer|4
conflictness|1
power,|2
creature|3
aameen|1
ulema).|1
5:06pm.|2
concern|60
scrutinized.|1
executives|1
small...|1
.showing|1
mr.hussain|1
objectify|2
baly|1
(dar|1
journalists.please|1
fore|1
bannned|6
day,|12
programaapis|1
january-2017|1
points|10
munafrt|1
apology,|5
delibrately|3
acts..amir|1
(@urwatistic),|16
takk.|2
cheater|1
spreeding|3
distrace|2
something|152
islamic,moral,|1
terrisom|1
poorly|3
related)|1
army...they|1
calay|1
https://m.facebook.com/story.php?story_fbid=1154009461368723&id=857350941034578|1
late|16
interview.|2
ishqbaaz.|1
true.|7
by.|2
clothing|34
institute|147
gen.|7
rasict|1
dance..|4
stupid..pls|1
flout|1
chosen|10
weigh|1
adays|3
tvone.|1
kelye|1
fir,record|1
protocols.|1
saiba|14
misundersting|1
facts.|15
rade|2
learns|50
risaalat|58
translated|2
news.|329
(azab-e-elahi)|2
liyaqat,kokab|1
thankyu|1
banned.please|1
sustained|2
wine.|1
basaaney|2
kidnapping.|1
khawateen|1
didnot|3
harassment.|2
act......|2
ferform|1
specifically,|1
politico-religious|2
alcoholic|5
industry...|1
guidance.|1
listened|9
plz.he|1
comman|2
wali|2
resonsape|1
dancers|3
keya|1
statement.this|1
playing|236
disturbing.|4
delivery|1
burki|1
qatil|25
pertains|1
ordinence.|1
naurani|1
unsure|2
pata|1
animation|2
ear|1
society.pemra|1
jassim|1
lagaana|1
right.it|1
qalandars|1
mahsud|1
loreal|1
debates,|1
punjabies|1
rudely|4
prioritized|1
sung|3
macking|1
max|33
https://www.facebook.com/imamdingujrati/videos/863818430465422/|1
promgramed|1
ayat|6
pcb|1
comsats.|5
https://tribune.com.pk/story/1435435/female-maths-teacher-accused-sex-teenage-students-appears-court/|1
lisssani|18
advertiser|13
program.please|2
approach.|49
fitnay-baz|1
17|6
bechara|1
talk-shows.|19
religiosity.|1
thair|4
resisting|2
probes.|1
news,as|1
enemies.and|1
excuses.|2
....contains|1
(who),|1
sonsg|1
so,we|1
conversation|20
grip|1
values;|1
douchebag|1
cure|2
naaaik|1
anty|4
conspring,|1
intehai|1
cheap.|1
satti|139
brink|2
calller|1
pkaistan|1
sites.|1
anchoring|8
upon.|1
/videos/971938519521255/|1
sober|7
10|220
khalil....and|1
topic...she|1
manipulating|27
late.|17
pitch|2
healty|4
he.|2
defying|4
bombardment.|6
fahash|4
pashtuns.|1
polygamy|3
knocking|1
ranking.|2
sahir....limits|1
defined|6
creams.|1
danced|10
actor/actress|54
abtak.|1
assalam.o.alaikum|3
sultan.|1
pic.twitter.com/mfkukhdtjn|2
culture..|3
quarrleing|2
hopeful|2
constructive|16
pgrogramme|1
effectively|4
notice...|1
audit|2
empowering|1
sheeps|1
tahir|15
https://www.facebook.com/medialeakspk/videos/441321802951228/|1
okarwi.|1
highly|126
noha|1
badmash|1
poses|3
meera|5
japanwalla|1
not.hopefully|1
behaviour,|7
transmissions;|1
iifa|1
crude.|1
assistant|2
bubble|1
banning,|1
lies.|15
taking|239
analysit|1
now.|22
maar|2
discourse|21
isi,so|1
qith|1
wariat...it|1
friday).|1
cultures.|2
keyboards|1
tauba|1
etc),|1
saad-ul-umam|5
sethii|1
activist,|8
02-07-2017.|1
bari|1
oneself|1
urdu.|5
thanks....|1
(h),|2
secretive|1
harraed|1
masalik.he|1
tarnised|1
fogure|1
risk|21
cementing|1
jawed,|1
conservative|12
nationalism|2
ishazardous|1
time:|1
matches|27
hill|1
anymeans|1
modernism,westernization|14
merely|6
(karachi|5
fllow|1
targated|1
bella|1
misbehaved|24
hadiya|1
sheti|5
waasta|1
garner|1
cheaters|2
grounds|14
authority.please|3
casting|14
krke|1
pre-teens|1
ad,|92
rajioon|1
(pashtun)|1
boot|5
cursing|4
liaquat.|75
aspiring|1
ancar|2
discriminatory.|1
straightaway|1
minded|7
dialogues|14
humans|2
mae|1
zainab,|1
things....he|1
wthinicity|1
aazaad|1
zakat,|1
filled|8
sensation,|1
taken,|1
cnn|18
ration|27
shebaz|3
basicaly|1
basit|13
hayn|1
mess.|1
issue.it|1
namus|2
decision.|7
snother|1
infant|2
saras|1
confrontational|1
slitting|1
domain.|2
ulemas.|3
completed|4
amounts|7
establish|4
country....its|1
https://www.facebook.com/pukhtoonnationalism/videos/423698204691122/|1
back...if|1
regarding|386
sc|3
i;|2
sucided|1
mafia.|2
https://www.youtube.com/watch?v=gafr8sl5lk4&spfreload=10|1
funny|6
break|35
faked|2
brodcast|2
tickets.|1
21-05-2016|1
contradicting|1
mazbi|2
idiotic|4
raw|31
say..this|1
bleeming|1
engr.|1
misogynistic|2
thier|38
gangsters.|1
sethi..|1
journalis|1
dera|1
proving|7
0930|1
forwarded|4
liaqat...he|1
27,|7
whilst|2
baltistan.|5
transferring|1
tweets|2
kashmore,|1
gop|1
conspiring|1
program.o|1
him.its|1
prtoecting|3
nadir,|1
happens.|2
ilyas|2
kaplan|1
plazz|1
discredited|1
language,hate|1
drive|6
art|2
vague|1
vulgarly,|1
honour.|3
#film|1
activist/terrorists.|1
....last|1
potentials.|1
cola|21
momina|1
secretarianism|2
radiculous|1
cmplete|1
satisfaction|2
kis|2
http://urdu.dunyanews.tv/index.php/ur/weirdnews/404226|1
decades-old|1
threating|1
chali|1
disheart|1
strategy.|1
18),|24
30|26
honoury|1
contininuosly|1
conseques|1
neverthless|1
charge.|1
ko??|1
present?|2
substantiate|1
costume|2
assignment|1
lasaniyat|2
tdy|2
any/all|1
indicate|1
criticize|7
condmn|2
exemplify|1
broadcasted|79
soldiers|2
frauds,|1
institute,|2
freely|1
october|55
2:|3
woman,promoting|3
sectinism.|1
transgender|31
admire|3
aiseynahichaleyga|2
song.|27
ranzan|1
madness.|1
(m.khazran)|2
thebad|1
trend.|1
eff.|1
11:00-12:00|1
12:29pm|1
drmas|6
smugness|1
association|1
asap,|1
stranger.|1
rescind|2
marries|1
#|7
chandio|2
jamhuriya|1
haider)|6
training|10
variety|2
raided|19
sorcery,|1
lovers).|1
variance|1
views?|1
pashtun.|5
grudges|3
learned.|1
massage|3
channals|28
anticipataion|1
forgotten|8
country,,,obviously|1
https://www.facebook.com/tehzeebnewss/videos/298869163873786/|1
biasness|3
fraudulent|5
craate|1
agiaslnst|2
vows|1
zulmat|1
prespectives|1
kinldk|1
it.niw|8
8xm|12
federal|4
vulgarityin|1
sarkar|10
posaible|1
pea|2
chalega)|1
decently.|2
sallaho|3
shamelessly,|2
thankyou|25
perwon|1
18th-20th)|1
dhul|1
lifetime|110
trinity|1
acceptable.|35
bano|2
news....|4
presented|39
imediately|2
listens.|1
madness|2
above-mentioned|1
e.g|5
success|3
stores|1
hug|36
persons|215
alochols|1
clip.|4
legit|1
crowed|1
(1)|4
prohbition|16
abuaed|1
(s.a.w)|12
quality|51
lumqan|1
murdered,|1
contesting|1
deewani|1
loodhi|2
mqy|1
labours.|2
equlity.|1
uttay|1
qokab|1
blasphmey.|1
aid|1
houses,,|1
https://www.facebook.com/bolnetwork/videos/1588897381221193/|2
p.h.d|1
barzi|1
fathom|1
online,|1
sunnah,|2
thrill|5
naqeebullah|1
wanabe|3
spechess|1
schedule|3
served.|1
crown|1
republic.|1
sickening|1
pemras.|1
life...he|1
principal,|1
contestants|5
atheist,|3
miss|47
sin|41
heros.geo|1
youre.to|1
islam?|6
uknn|3
anchorise|1
satan|1
seem|80
darbars,|1
islamabaf|2
thought).|1
forged|2
https://www.mangobaaz.com/sahir-lodhi-ban/|1
glamour|1
schlors|1
also.close|1
importent|1
spirit.|1
regards,|51
shia,|6
sb...|1
talks|49
columnist|2
man..|2
treating|3
condemning|3
program.pemra|1
freely.|1
analysis|13
r&aw|1
wnat|2
visuals.the|1
impatience|1
concernec|1
hidden|13
gentlemen|2
child?|1
us.kindly|1
rubber|4
ban..|1
shaitan|4
bashing|26
bad!!!|1
discremination|3
misguaiding|1
rahat|2
agitation,|1
misdemeanor|1
jingoistic|1
teachers.|4
inform|60
him,the|1
period.|4
uneasyness|1
draws?|1
motor|2
brings|7
registered,|1
for.|6
qaari|2
cannes|1
mohib|1
ustani|1
benefits...please|1
insigate|1
grand|16
produces|2
content/speech|1
24.08.2017|1
child!|1
evolving|2
solidarity.|1
tarnish|3
bad-knowledge|1
qureshi|129
jury,|1
surrounding|6
1st.|1
symbolically|1
ills|1
2018,|22
mashry|15
analog|1
indecency.|2
soceity|3
moral,|8
zenab|1
justice.|5
https://web.facebook.com/medialeakspk/videos/444625379287537/|1
ataind|1
snug|2
sgiuld|1
dubbing.|1
abbtaak|2
decisions.|1
khalilo|1
somehow|7
highly?|1
huby|1
expected|32
bogus|2
questions,|2
khabarnaak|6
hussain;|1
rowdy|4
individual|71
nikki|2
(josh)|1
(saw)|25
play,|2
.|1797
instaed..|1
pta,|1
areas.|1
spreaking|1
investors.100|1
doremon|1
vicious|16
accident|3
pads.|1
his.ramadan|1
link|168
launched,|1
hyn,seeta|4
about.|12
hattered|4
advertisement...|1
amer|16
bath.|1
multan|4
afridi|2
streamline|1
pashtun..|1
conflict..|1
banned!|11
car|13
ploted|1
phelate|1
daring|1
her...n|1
aapas|48
sehr|7
http://www.dailymail.co.uk/travel/travel_news/article-2955399/frustrated-traveller-strips-completely-naked-airport-pass-metal-detectors.html|1
.he|18
contraversial|1
reporting.their|1
roftod|1
yesterdays|15
virus|1
anti-army.|5
ultra|1
quarrels|3
raids.|1
himself.|9
responded|1
majid|1
awards|12
universities.|4
24*7|1
tune|24
card|11
basics|3
intimating|1
personalities...|3
accommodated.|1
mariam.|1
fine/penalty|3
ramadhaan....moreover|1
bol/pak|1
shaistas|1
public|383
exists|18
then.|2
secticism|1
interests,|2
indecency|5
sides.|1
belief|6
reigned|1
dancing|249
anti-pakistan,|7
base|31
hardly|5
plzay|1
program.the|1
opinions.|5
asame|1
bol!|1
hay.|2
congratulate|2
scripted,|2
modernism|1
down..|1
economics|1
india..|3
24-january,2017.|1
panel.|1
daily,|1
3wxr3|1
chlay|6
gusatkh.|1
differentiate|1
astonish|1
penis.|4
sponcer|1
site,|1
pemras|68
changaiz|1
source:|1
tea|25
muhadeseen|1
debate.|12
properties.|1
gb|5
like|1973
curtail|7
muntaha|1
aashoora|1
jibran,|2
channelsc|1
agency(police),|1
adhwre|8
shehbaz|1
raaw|1
back|72
cults|1
masalik....|1
brodcasting|3
enterprise|1
lssifiatin|2
durood|1
yelled|2
zakit|1
representing|14
baba|16
requesting|18
ushe|1
(9:30am,|1
balck|1
dosroun|1
inconvenient,|1
easly|1
ramdhan|7
laddu|1
guy|74
sedition|1
operations|5
december2017)|1
uncomfortable|13
queen.|2
emaan|1
goat|3
schola|1
six|3
practicing|6
pssngrs|2
conveyed|1
socoety|1
s.a.w|18
..but|1
nausheen|1
province.then|26
scuh|1
helk|1
arynews,|2
namoss|2
discern|1
(firqawariat),|1
ourtraditions|1
causing|85
george|4
realizing|1
happened.|5
kokan|1
kahani).|1
dunia|1
aalim,|4
culture,thankyou.|4
prank|2
badlega|1
hunzais|1
liscene|1
skype|3
tome|1
show(aisa|1
safdar).|16
complaints|147
secarian|1
lads|1
screenshots|2
in.|3
amaze|1
forget|26
prophet,|29
steps,|1
sack|1
indians?|6
fasadaat|1
enjoin|27
nasir.i|1
permissions|1
principle|1
encounter|2
lahir|1
harmed|3
pk|5
sattii|1
apna|12
akbar|9
danger.as|1
dumb.|1
contentiously|1
words,|9
ahal|3
product?|1
cort|1
queeta|32
https://m.facebook.com/story.php?story_fbid=1693365690692765&id=261711430524872|2
children...|1
inner|1
lahore,|4
pakistan...!|2
pak,|1
questions/|1
mazaaq|7
inorder|1
18th,|2
honesty.|2
theuniversities?|4
kinfly|1
(character|1
channesl|1
believers|2
shohld|1
touheed.|1
accuser.|1
11:40|1
lyqat|1
praising|6
humanity.|9
hadith,|1
shaikh,|1
indulges|1
crutches,|27
continued..|1
powerplay,|1
valgar|8
molested.|27
tv??|2
lifafas|1
skin|18
unfortunately.|1
(popcorn)|1
soverinty|13
spearding|2
ahmedis,|1
tribe(pokhtoon)|1
gathers|1
(calling|1
https://www.youtube.com/watch?v=vmpvxugkmmw|1
qauqsb|1
penalize,|1
shying|2
spree|1
nibhana|1
mpa|1
trolled.|1
pass.|1
,ye|1
itrs|1
understood|4
finding|2
attraction|30
banned..and|2
complaon.|1
schoo|1
tisha|1
striped|2
mujy|1
porsons|5
malligned|1
forecasting|1
sagir|1
unsubstantiated|16
talaq|6
puppets|3
06th|1
topics|97
kaeachi|1
rehman.bol|1
characterized|1
celebraties|5
pose|2
m)|1
convey|14
productive,|1
exceptional|3
mohammed|3
people.this|1
mins|5
progam|3
azan|23
sreading|1
horrable|1
hegemony|1
mai|20
profit|2
help,|1
vital|68
konw|8
exposes|1
headlines,|1
!!!!|10
children?|1
queries|4
mr.liaquat|1
seek|12
steadly|1
woth|3
qarams|1
genital|7
aslam,farah|1
owe|1
named(aap|1
veiws..|1
secarial|1
extremis|1
survive|1
faking|12
reliability|1
secritarianism|1
concern?|1
army..|3
hussahu.|1
reknown|1
ownword|1
society.firstly,its|1
chalega.|19
http://www.uteatralizowac.info/,|2
disgusting,|13
crazy|2
intend|5
27th|5
authorities.|9
acter.|2
break,|3
aslamo|1
4.amir|1
nasheed|1
terrible|12
mujey|1
balti|2
sting|7
hadees,|2
ya|29
mishap|3
utmost|14
endings|1
depicting|8
april|39
crowns|2
audience|72
shots|7
(na|1
sects.this|1
gaudy|1
